times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
000.295  000.283: locale set
000.821  000.526: inits 1
000.833  000.011: window checked
001.178  000.345: parsing arguments
001.182  000.004: expanding arguments
001.255  000.073: inits 2
001.832  000.577: init highlight
002.513  000.061  000.061: sourcing /home/okoye/.config/nvim/autoload/jalcine.vim
002.975  000.078  000.078: sourcing /home/okoye/.config/nvim/autoload/jalcine/augroups.vim
003.577  000.373  000.373: sourcing /home/okoye/.config/nvim/autoload/jalcine/plugins.vim
003.967  000.046  000.046: sourcing /usr/share/nvim/runtime/ftoff.vim
007.327  003.207  003.207: sourcing /home/okoye/.config/nvim/autoload/plug.vim
034.414  000.035  000.035: sourcing /home/okoye/.config/nvim/plugins/vim-markdown/ftdetect/markdown.vim
035.572  000.034  000.034: sourcing /home/okoye/.config/nvim/plugins/vim-node/ftdetect/node.vim
037.966  000.172  000.172: sourcing /home/okoye/.config/nvim/plugins/requirements.txt.vim/ftdetect/requirements.vim
040.248  000.193  000.193: sourcing /home/okoye/.config/nvim/plugins/vim-ruby/ftdetect/ruby.vim
040.605  000.274  000.274: sourcing /home/okoye/.config/nvim/plugins/vim-ruby/ftdetect/ruby_extra.vim
041.247  000.092  000.092: sourcing /home/okoye/.config/nvim/plugins/vim-go/ftdetect/gofiletype.vim
042.598  000.103  000.103: sourcing /home/okoye/.config/nvim/plugins/vim-jsx/ftdetect/javascript.vim
043.873  000.043  000.043: sourcing /home/okoye/.config/nvim/plugins/tern_for_vim/ftdetect/tern.vim
082.922  000.059  000.059: sourcing /home/okoye/.config/nvim/plugins/vim-orgmode/ftdetect/org.vim
083.256  000.124  000.124: sourcing /home/okoye/.config/nvim/plugins/fzf-gitignore/ftdetect/gitignore.vim
083.542  000.044  000.044: sourcing /home/okoye/.config/nvim/plugins/vim-tmux/ftdetect/tmux.vim
094.951  011.310  011.310: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/ftdetect/polyglot.vim
095.426  000.084  000.084: sourcing /home/okoye/.config/nvim/plugins/ultisnips/ftdetect/snippets.vim
095.976  000.101  000.101: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/after/ftdetect/rspec.vim
096.196  040.913  029.191: sourcing /usr/share/nvim/runtime/filetype.vim
097.344  000.093  000.093: sourcing /usr/share/nvim/runtime/ftplugin.vim
098.341  000.083  000.083: sourcing /usr/share/nvim/runtime/indent.vim
100.127  000.498  000.498: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/syncolor.vim
101.034  000.410  000.410: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
101.324  002.157  001.249: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/synload.vim
101.402  002.720  000.563: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
102.375  000.157  000.157: sourcing /home/okoye/.config/nvim/autoload/jalcine/mappings.vim
107.200  000.020  000.020: sourcing /usr/share/nvim/runtime/filetype.vim
107.986  000.020  000.020: sourcing /usr/share/nvim/runtime/ftplugin.vim
108.727  000.018  000.018: sourcing /usr/share/nvim/runtime/indent.vim
109.430  000.270  000.270: sourcing /usr/share/nvim/runtime/syntax/nosyntax.vim
110.929  000.479  000.479: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/syncolor.vim
111.742  000.461  000.461: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
112.032  002.098  001.158: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/synload.vim
112.111  003.250  000.883: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
112.358  000.059  000.059: sourcing /home/okoye/.config/nvim/autoload/jalcine/lang.vim
112.615  000.133  000.133: sourcing /home/okoye/.config/nvim/autoload/jalcine/lang/python.vim
253.720  000.132  000.132: sourcing /usr/share/nvim/runtime/autoload/provider/pythonx.vim
254.620  000.218  000.218: sourcing /usr/share/nvim/runtime/autoload/remote/host.vim
254.779  001.889  001.539: sourcing /usr/share/nvim/runtime/autoload/provider/python3.vim
387.898  000.053  000.053: sourcing /usr/share/nvim/runtime/autoload/provider.vim
475.607  315.998  314.055: sourcing /home/okoye/.config/nvim/plugins/jedi-vim/autoload/jedi.vim
476.148  000.046  000.046: sourcing /home/okoye/.config/nvim/autoload/jalcine/lang/php.vim
477.402  000.044  000.044: sourcing /home/okoye/.config/nvim/autoload/jalcine/theme.vim
478.880  000.257  000.257: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/syncolor.vim
479.320  000.245  000.245: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
479.886  000.241  000.241: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/syncolor.vim
480.284  000.229  000.229: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
488.407  010.706  009.734: sourcing /home/okoye/.config/nvim/plugins/base16-vim/colors/base16-monokai.vim
488.428  010.948  000.242: sourcing /home/okoye/.vimrc_background
489.822  000.277  000.277: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/syncolor.vim
490.259  000.247  000.247: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
491.964  000.490  000.490: sourcing /home/okoye/.config/nvim/plugins/vim-polyglot/syntax/syncolor.vim
492.438  000.270  000.270: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
500.370  011.700  010.416: sourcing /home/okoye/.config/nvim/plugins/base16-vim/colors/base16-monokai.vim
500.422  498.438  107.528: sourcing /home/okoye/.config/nvim/init.vim
500.428  000.158: sourcing vimrc file(s)
501.257  000.015  000.015: sourcing /usr/share/nvim/runtime/filetype.vim
501.674  000.011  000.011: sourcing /usr/share/nvim/runtime/ftplugin.vim
502.073  000.011  000.011: sourcing /usr/share/nvim/runtime/indent.vim
503.404  002.607  002.570: sourcing /home/okoye/.config/nvim/plugins/vim-sensible/plugin/sensible.vim
503.964  000.449  000.449: sourcing /home/okoye/.config/nvim/plugins/vim-endwise/plugin/endwise.vim
504.898  000.848  000.848: sourcing /home/okoye/.config/nvim/plugins/vim-speeddating/plugin/speeddating.vim
505.315  000.187  000.187: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/rc.vim
506.161  000.314  000.314: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView.vim
506.527  000.210  000.210: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/rule.vim
506.695  000.078  000.078: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/var.vim
506.898  000.054  000.054: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/regex.vim
507.866  002.808  001.965: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/plugin/GoldenView.vim
507.934  000.038  000.038: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/plugin/zl/bootstrap.vim
515.730  007.582  007.582: sourcing /home/okoye/.config/nvim/plugins/vim-easymotion/plugin/EasyMotion.vim
516.118  000.256  000.256: sourcing /home/okoye/.config/nvim/plugins/neomake/plugin/neomake.vim
517.369  001.167  001.167: sourcing /home/okoye/.config/nvim/plugins/vim-test/plugin/test.vim
517.838  000.380  000.380: sourcing /home/okoye/.config/nvim/plugins/vim-dotenv/plugin/dotenv.vim
518.007  000.085  000.085: sourcing /home/okoye/.config/nvim/plugins/direnv.vim/plugin/direnv.vim
518.469  000.382  000.382: sourcing /home/okoye/.config/nvim/plugins/vim-rsi/plugin/rsi.vim
518.758  000.204  000.204: sourcing /home/okoye/.config/nvim/plugins/vim-husk/plugin/husk.vim
519.077  000.230  000.230: sourcing /home/okoye/.config/nvim/plugins/vim-commentary/plugin/commentary.vim
519.226  000.056  000.056: sourcing /home/okoye/.config/nvim/plugins/vim-commentary-boxed/plugin/commentary-boxed.vim
519.385  000.053  000.053: sourcing /home/okoye/.config/nvim/plugins/vim-misc/plugin/xolox/misc.vim
520.031  000.016  000.016: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc.vim
521.455  000.175  000.175: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc/os.vim
521.653  000.470  000.295: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc/path.vim
522.376  002.223  001.754: sourcing /home/okoye/.config/nvim/plugins/vim-notes/autoload/xolox/notes.vim
524.039  004.159  001.921: sourcing /home/okoye/.config/nvim/plugins/vim-notes/plugin/notes.vim
524.446  000.207  000.207: sourcing /home/okoye/.config/nvim/plugins/vim-shell/plugin/shell.vim
529.079  004.538  004.538: sourcing /home/okoye/.config/nvim/plugins/vim-fugitive/plugin/fugitive.vim
529.444  000.251  000.251: sourcing /home/okoye/.config/nvim/plugins/vim-rhubarb/plugin/rhubarb.vim
529.586  000.047  000.047: sourcing /home/okoye/.config/nvim/plugins/vim-fugitive-blame-ext/plugin/fugitive-blame-ext.vim
529.700  000.036  000.036: sourcing /home/okoye/.config/nvim/plugins/vim-merginal/plugin/merginal.vim
529.845  000.057  000.057: sourcing /home/okoye/.config/nvim/plugins/gist-vim/plugin/gist.vim
530.011  000.068  000.068: sourcing /home/okoye/.config/nvim/plugins/ght.vim/plugin/ght.vim
532.645  002.551  002.551: sourcing /home/okoye/.config/nvim/plugins/vim-bookmarks/plugin/bookmark.vim
